locus_tag	ftype	length_bp	gene	EC_number	COG	product
SEQF10000.1_00356	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
SEQF10000.1_00357	CDS	549	recX			Regulatory protein RecX
SEQF10000.1_00358	CDS	1047	recA		COG0468	Protein RecA
SEQF10000.1_00359	CDS	1122				hypothetical protein
SEQF10000.1_00360	CDS	690				hypothetical protein
SEQF10000.1_00361	CDS	1014	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
SEQF10000.1_00362	CDS	1032				hypothetical protein
SEQF10000.1_00363	CDS	771				hypothetical protein
SEQF10000.1_00364	CDS	1080				hypothetical protein
SEQF10000.1_00365	CDS	672	deoC	4.1.2.4		Deoxyribose-phosphate aldolase
SEQF10000.1_00366	CDS	1191	deoB	5.4.2.7	COG1015	Phosphopentomutase
SEQF10000.1_00367	CDS	714	deoD_1	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
SEQF10000.1_00368	CDS	399	cdd	3.5.4.5	COG0295	Cytidine deaminase
SEQF10000.1_00369	CDS	1224	nupX		COG1972	Putative nucleoside permease NupX
SEQF10000.1_00370	CDS	852	hel		COG2503	Lipoprotein E
SEQF10000.1_00371	CDS	771	udp	2.4.2.3	COG2820	Uridine phosphorylase
SEQF10000.1_00372	CDS	723				hypothetical protein
SEQF10000.1_00373	CDS	204				hypothetical protein
SEQF10000.1_00374	CDS	156				hypothetical protein
SEQF10000.1_00375	CDS	240				hypothetical protein
SEQF10000.1_00376	CDS	519	pal_2			Peptidoglycan-associated lipoprotein
SEQF10000.1_00377	CDS	375				hypothetical protein
SEQF10000.1_00378	CDS	2475	menE_1	6.2.1.26		2-succinylbenzoate--CoA ligase
SEQF10000.1_00379	CDS	513				hypothetical protein
SEQF10000.1_00380	CDS	1485				hypothetical protein
SEQF10000.1_00381	CDS	621				hypothetical protein
SEQF10000.1_00382	CDS	636	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
SEQF10000.1_00383	CDS	2766	recF_1			DNA replication and repair protein RecF
SEQF10000.1_00384	CDS	1167	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
SEQF10000.1_00385	CDS	2706	rep	3.6.4.12		ATP-dependent DNA helicase Rep
SEQF10000.1_00386	CDS	2139	pbpF		COG0744	Penicillin-binding protein 1F
SEQF10000.1_00387	CDS	1050	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
SEQF10000.1_00388	CDS	819	thyA1	2.1.1.45	COG0207	Thymidylate synthase 1
SEQF10000.1_00389	CDS	2277	recB	3.1.11.5		RecBCD enzyme subunit RecB
SEQF10000.1_00390	CDS	867	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
SEQF10000.1_00391	CDS	927	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
SEQF10000.1_00392	rRNA	1504				16S ribosomal RNA
SEQF10000.1_00393	CDS	423				IS110 family transposase ISFnu3
SEQF10000.1_00394	CDS	1038	gerKI	1.1.1.364		dTDP-4-oxo-6-deoxy-D-allose reductase
SEQF10000.1_00395	CDS	681	pglC	2.7.8.36	COG2148	Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase
SEQF10000.1_00396	CDS	894	gnu	5.1.3.26	COG0451	N-acetyl-alpha-D-glucosaminyl-diphospho-ditrans,octacis-undecaprenol 4-epimerase
SEQF10000.1_00397	CDS	1137	epsD	2.4.-.-		Putative glycosyltransferase EpsD
SEQF10000.1_00398	CDS	816	wbnJ	2.4.1.122		O-antigen biosynthesis glycosyltransferase WbnJ
SEQF10000.1_00399	CDS	963				hypothetical protein
SEQF10000.1_00400	CDS	978				hypothetical protein
SEQF10000.1_00401	CDS	1251				hypothetical protein
SEQF10000.1_00402	CDS	945				hypothetical protein
SEQF10000.1_00403	CDS	705	neuA	2.7.7.43	COG1083	N-acylneuraminate cytidylyltransferase
SEQF10000.1_00404	CDS	1518	opuD		COG1292	Glycine betaine transporter OpuD
SEQF10000.1_00405	CDS	1578	thiK_1	2.7.1.89		Thiamine kinase
SEQF10000.1_00406	CDS	1095				hypothetical protein
SEQF10000.1_00407	CDS	1446				hypothetical protein
SEQF10000.1_00408	CDS	1026				hypothetical protein
SEQF10000.1_00409	CDS	1155				hypothetical protein
SEQF10000.1_00410	CDS	702				hypothetical protein
SEQF10000.1_00411	CDS	1089				hypothetical protein
SEQF10000.1_00412	CDS	786				hypothetical protein
SEQF10000.1_00413	CDS	774	wfgD	2.4.1.305		UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD
SEQF10000.1_00414	CDS	1242				IS256 family transposase ISCth4
SEQF10000.1_00415	CDS	450				hypothetical protein
SEQF10000.1_00416	CDS	252				hypothetical protein
SEQF10000.1_00417	CDS	561				hypothetical protein
SEQF10000.1_00418	CDS	453				hypothetical protein
SEQF10000.1_00419	CDS	975	rhaR_2			HTH-type transcriptional activator RhaR
SEQF10000.1_00420	CDS	1773	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
SEQF10000.1_00421	CDS	1725			COG1132	putative ABC transporter ATP-binding protein
SEQF10000.1_00422	CDS	585				hypothetical protein
SEQF10000.1_00423	CDS	687	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
SEQF10000.1_00424	CDS	1374	ykoD	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
SEQF10000.1_00425	CDS	264				hypothetical protein
SEQF10000.1_00426	CDS	1992	btuB_3			Vitamin B12 transporter BtuB
SEQF10000.1_00427	CDS	3054	mdtC		COG0841	Multidrug resistance protein MdtC
SEQF10000.1_00428	CDS	1110				hypothetical protein
SEQF10000.1_00429	CDS	1275				hypothetical protein
SEQF10000.1_00430	CDS	1719			COG1132	putative ABC transporter ATP-binding protein
SEQF10000.1_00431	CDS	1740		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_00432	CDS	573				hypothetical protein
SEQF10000.1_00433	CDS	258				hypothetical protein
SEQF10000.1_00434	CDS	330				hypothetical protein
SEQF10000.1_00435	CDS	588		3.6.1.66		dITP/XTP pyrophosphatase
SEQF10000.1_00436	CDS	750	rph	2.7.7.56	COG0689	Ribonuclease PH
SEQF10000.1_00437	CDS	1770		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
SEQF10000.1_00438	CDS	1074	lpxB	2.4.1.182	COG0763	Lipid-A-disaccharide synthase
SEQF10000.1_00439	CDS	804	lpxI	3.6.1.54	COG3494	UDP-2,3-diacylglucosamine pyrophosphatase LpxI
SEQF10000.1_00440	CDS	774	lpxA	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
SEQF10000.1_00441	CDS	426	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
SEQF10000.1_00442	CDS	828	lpxC	3.5.1.108	COG0774	UDP-3-O-acyl-N-acetylglucosamine deacetylase
SEQF10000.1_00443	CDS	2154	pcrA	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
SEQF10000.1_00444	misc_RNA	98				Bacteria_small_SRP
SEQF10000.1_00445	CDS	1227				hypothetical protein
SEQF10000.1_00446	CDS	768				hypothetical protein
SEQF10000.1_00447	CDS	1074				hypothetical protein
SEQF10000.1_00448	CDS	462				hypothetical protein
SEQF10000.1_00449	CDS	780				hypothetical protein
SEQF10000.1_00450	CDS	1197	scmP_1	3.5.1.-	COG1473	N-acetylcysteine deacetylase
SEQF10000.1_00451	CDS	549				hypothetical protein
SEQF10000.1_00452	CDS	459				hypothetical protein
SEQF10000.1_00453	CDS	738				hypothetical protein
SEQF10000.1_00454	CDS	387	tolR_2			Tol-Pal system protein TolR
SEQF10000.1_00455	CDS	609	tolQ_2		COG0811	Tol-Pal system protein TolQ
SEQF10000.1_00456	CDS	381	ybaN		COG2832	Inner membrane protein YbaN
SEQF10000.1_00457	CDS	516				hypothetical protein
SEQF10000.1_00458	CDS	546				hypothetical protein
SEQF10000.1_00459	CDS	1377				hypothetical protein
SEQF10000.1_00460	CDS	1197	patB_2	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
SEQF10000.1_00461	CDS	1311	dsdA	4.3.1.18	COG3048	D-serine dehydratase
SEQF10000.1_00462	CDS	444	dsdX_1		COG2610	D-serine transporter DsdX
SEQF10000.1_00463	CDS	798	dsdX_2			D-serine transporter DsdX
SEQF10000.1_00464	CDS	555	puuR_1			HTH-type transcriptional regulator PuuR
SEQF10000.1_00465	CDS	738	pyrG	6.3.4.2		CTP synthase
SEQF10000.1_00466	CDS	585				hypothetical protein
SEQF10000.1_00467	CDS	3000				hypothetical protein
SEQF10000.1_00468	CDS	1635				hypothetical protein
SEQF10000.1_00469	CDS	312				hypothetical protein
SEQF10000.1_00470	CDS	261				hypothetical protein
SEQF10000.1_00471	CDS	1296				hypothetical protein
SEQF10000.1_00472	tRNA	78				tRNA-Asp(gtc)
SEQF10000.1_00473	tRNA	76				tRNA-Val(tac)
SEQF10000.1_00474	tRNA	75				tRNA-Glu(ttc)
SEQF10000.1_00475	tRNA	76				tRNA-Lys(ctt)
SEQF10000.1_00476	tRNA	76				tRNA-Gly(tcc)
SEQF10000.1_00477	CDS	492				hypothetical protein
SEQF10000.1_00478	CDS	1059	glpX	3.1.3.11	COG1494	Fructose-1,6-bisphosphatase 1 class 2
SEQF10000.1_00479	CDS	309				hypothetical protein
SEQF10000.1_00480	CDS	522	def	3.5.1.88	COG0242	Peptide deformylase
SEQF10000.1_00481	CDS	2277	priA	3.6.4.-		primosomal protein N'
SEQF10000.1_00482	CDS	1965	spoVD		COG0768	Stage V sporulation protein D
SEQF10000.1_00483	CDS	1185				hypothetical protein
SEQF10000.1_00484	CDS	345				hypothetical protein
SEQF10000.1_00485	CDS	1980	aroB	4.2.3.4		3-dehydroquinate synthase
SEQF10000.1_00486	CDS	432				hypothetical protein
SEQF10000.1_00487	CDS	957	hutG	3.5.3.8	COG0010	Formimidoylglutamase
SEQF10000.1_00488	CDS	1122	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
SEQF10000.1_00489	CDS	597				hypothetical protein
SEQF10000.1_00490	CDS	663				hypothetical protein
SEQF10000.1_00491	CDS	1089				hypothetical protein
SEQF10000.1_00492	CDS	1518	hbpA_1		COG0747	Heme-binding protein A
SEQF10000.1_00493	CDS	462				hypothetical protein
SEQF10000.1_00494	CDS	1932	fbp	3.1.3.11		Fructose-1,6-bisphosphatase class 3
SEQF10000.1_00495	CDS	2535	ppdK	2.7.9.1	COG0574	Pyruvate, phosphate dikinase
SEQF10000.1_00496	CDS	588	ccpN		COG0517	Transcriptional repressor CcpN
SEQF10000.1_00497	CDS	2538		7.2.2.10		Calcium-transporting ATPase 1
SEQF10000.1_00498	CDS	951				hypothetical protein
SEQF10000.1_00499	CDS	816				hypothetical protein
SEQF10000.1_00500	CDS	1344	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
SEQF10000.1_00501	CDS	696	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
SEQF10000.1_00502	CDS	984	bioB_1	2.8.1.6		Biotin synthase
SEQF10000.1_00503	CDS	981	birA	6.3.4.15		Bifunctional ligase/repressor BirA
SEQF10000.1_00504	CDS	591				hypothetical protein
SEQF10000.1_00505	CDS	1149	hgdB	4.2.1.167	COG1775	(R)-2-hydroxyglutaryl-CoA dehydratase, subunit beta
SEQF10000.1_00506	CDS	1326	fldB	4.2.1.-		(R)-phenyllactyl-CoA dehydratase alpha subunit
SEQF10000.1_00507	CDS	795	fldI	3.6.1.-		(R)-phenyllactate dehydratase activator
SEQF10000.1_00508	CDS	1239	gltS_1		COG0786	Sodium/glutamate symporter
SEQF10000.1_00509	CDS	1758	gcdA	7.2.4.5	COG4799	Glutaconyl-CoA decarboxylase subunit alpha
SEQF10000.1_00510	CDS	798	gctB	2.8.3.12	COG2057	Glutaconate CoA-transferase subunit B
SEQF10000.1_00511	CDS	966	gctA	2.8.3.12	COG1788	Glutaconate CoA-transferase subunit A
SEQF10000.1_00512	CDS	1143	gcdB_2	7.2.4.5	COG1883	Glutaconyl-CoA decarboxylase subunit beta
SEQF10000.1_00513	CDS	420	cfiA	6.4.1.7	COG0511	2-oxoglutarate carboxylase large subunit
SEQF10000.1_00514	CDS	306				hypothetical protein
SEQF10000.1_00515	CDS	573				hypothetical protein
SEQF10000.1_00516	CDS	1509				hypothetical protein
SEQF10000.1_00517	CDS	1182	gltS_2		COG0786	Sodium/glutamate symporter
SEQF10000.1_00518	CDS	996	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
SEQF10000.1_00519	CDS	1263		1.4.1.2		NAD-specific glutamate dehydrogenase
SEQF10000.1_00520	CDS	1521	mleN_2		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_00521	CDS	804	cheB	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
SEQF10000.1_00522	CDS	1296				hypothetical protein
SEQF10000.1_00523	CDS	1440				hypothetical protein
SEQF10000.1_00524	CDS	621		2.7.7.-	COG2184	Protein adenylyltransferase NmFic
SEQF10000.1_00525	CDS	198				hypothetical protein
SEQF10000.1_00526	CDS	645				hypothetical protein
SEQF10000.1_00527	CDS	909				hypothetical protein
SEQF10000.1_00528	CDS	813	cbiK	4.99.1.3	COG4822	Sirohydrochlorin cobaltochelatase
SEQF10000.1_00529	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
SEQF10000.1_00530	CDS	1203	mnmE_1	3.6.-.-		tRNA modification GTPase MnmE
SEQF10000.1_00531	CDS	1398	bioB_2	2.8.1.6		Biotin synthase
SEQF10000.1_00532	CDS	1047		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
SEQF10000.1_00533	CDS	267				hypothetical protein
SEQF10000.1_00534	CDS	468	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
SEQF10000.1_00535	CDS	1380	apeA	3.4.11.-	COG1362	putative M18 family aminopeptidase 1
SEQF10000.1_00536	CDS	183				hypothetical protein
SEQF10000.1_00537	CDS	261				hypothetical protein
SEQF10000.1_00538	CDS	267				hypothetical protein
SEQF10000.1_00539	CDS	1980	fecA_1		COG4772	Fe(3+) dicitrate transport protein FecA
SEQF10000.1_00540	CDS	801				hypothetical protein
SEQF10000.1_00541	CDS	582	gmhA	5.3.1.28	COG0279	Phosphoheptose isomerase
SEQF10000.1_00542	CDS	858	hdfR			HTH-type transcriptional regulator HdfR
SEQF10000.1_00543	CDS	2664	valS	6.1.1.9	COG0525	Valine--tRNA ligase
SEQF10000.1_00544	CDS	615	engB		COG0218	putative GTP-binding protein EngB
SEQF10000.1_00545	CDS	2328	lon1	3.4.21.53	COG0466	Lon protease 1
SEQF10000.1_00546	CDS	1293	clpX			ATP-dependent Clp protease ATP-binding subunit ClpX
SEQF10000.1_00547	CDS	588	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
SEQF10000.1_00548	CDS	1290	tig	5.2.1.8	COG0544	Trigger factor
SEQF10000.1_00549	CDS	1677	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
SEQF10000.1_00550	CDS	369	rbfA			Ribosome-binding factor A
SEQF10000.1_00551	CDS	2139	infB			Translation initiation factor IF-2
SEQF10000.1_00552	CDS	522				hypothetical protein
SEQF10000.1_00553	CDS	1062	nusA		COG0195	Transcription termination/antitermination protein NusA
SEQF10000.1_00554	CDS	462	rimP		COG0779	Ribosome maturation factor RimP
SEQF10000.1_00555	CDS	432	glmS_1	5.4.99.1		Glutamate mutase sigma subunit
SEQF10000.1_00556	CDS	1359				hypothetical protein
SEQF10000.1_00557	CDS	1014				hypothetical protein
SEQF10000.1_00558	CDS	1419	ybjL			Putative transport protein YbjL
SEQF10000.1_00559	CDS	402	nudG_1	3.6.1.65	COG0494	CTP pyrophosphohydrolase
SEQF10000.1_00560	CDS	1446	panF		COG4145	Sodium/pantothenate symporter
SEQF10000.1_00561	CDS	261				hypothetical protein
SEQF10000.1_00562	CDS	786	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
SEQF10000.1_00563	CDS	753	gsiA	7.4.2.10	COG1123	Glutathione import ATP-binding protein GsiA
SEQF10000.1_00564	CDS	702	dppD		COG0444	Dipeptide transport ATP-binding protein DppD
SEQF10000.1_00565	CDS	780	gsiD_2		COG1173	Glutathione transport system permease protein GsiD
SEQF10000.1_00566	CDS	915	nikB_1		COG0601	Nickel import system permease protein NikB
SEQF10000.1_00567	CDS	1488	dppA_1		COG0747	Periplasmic dipeptide transport protein
SEQF10000.1_00568	CDS	1401				hypothetical protein
SEQF10000.1_00569	CDS	1500	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
SEQF10000.1_00570	CDS	864	aidA			Quorum-quenching protein AidA
SEQF10000.1_00571	CDS	981	prfB			Peptide chain release factor 2
SEQF10000.1_00572	CDS	222				hypothetical protein
SEQF10000.1_00573	CDS	345	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
SEQF10000.1_00574	CDS	759	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
SEQF10000.1_00575	CDS	861	hslO		COG1281	33 kDa chaperonin
SEQF10000.1_00576	CDS	522				hypothetical protein
SEQF10000.1_00577	CDS	1383	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
SEQF10000.1_00578	CDS	969				hypothetical protein
SEQF10000.1_00579	CDS	1503	comM		COG0606	Competence protein ComM
SEQF10000.1_00580	CDS	558	mntP		COG1971	putative manganese efflux pump MntP
SEQF10000.1_00581	CDS	405	nusB		COG0781	Transcription antitermination protein NusB
SEQF10000.1_00582	CDS	225				hypothetical protein
SEQF10000.1_00583	CDS	537				hypothetical protein
SEQF10000.1_00584	CDS	363			COG1302	Alkaline shock protein 23
SEQF10000.1_00585	CDS	1344	accC	6.3.4.14	COG0439	Biotin carboxylase
SEQF10000.1_00586	CDS	408				hypothetical protein
SEQF10000.1_00587	CDS	3426	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
SEQF10000.1_00588	CDS	1761				hypothetical protein
SEQF10000.1_00589	CDS	3405	rapA	3.6.4.-		RNA polymerase-associated protein RapA
SEQF10000.1_00590	CDS	876	btuF_1		COG0614	Vitamin B12-binding protein
SEQF10000.1_00591	CDS	2145	btuB_4			Vitamin B12 transporter BtuB
SEQF10000.1_00592	CDS	975	hmuU_1		COG0609	Hemin transport system permease protein HmuU
SEQF10000.1_00593	CDS	801	fepC_1		COG1120	Ferric enterobactin transport ATP-binding protein FepC
SEQF10000.1_00594	CDS	1227	chuW	2.1.1.342		Anaerobilin synthase
SEQF10000.1_00595	CDS	1260	gatC_1		COG3775	PTS system galactitol-specific EIIC component
SEQF10000.1_00596	CDS	393				hypothetical protein
SEQF10000.1_00597	CDS	438				hypothetical protein
SEQF10000.1_00598	CDS	651	drdA_1	4.1.2.-		5-deoxy-D-ribulose 1-phosphate aldolase
SEQF10000.1_00599	CDS	2061				hypothetical protein
SEQF10000.1_00600	CDS	1152				hypothetical protein
SEQF10000.1_00601	CDS	1533	nfdA_1	3.5.1.91		N-substituted formamide deformylase
SEQF10000.1_00602	CDS	1629	nfdA_2	3.5.1.91		N-substituted formamide deformylase
SEQF10000.1_00603	CDS	1428	mleN_3		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_00604	CDS	1914	thrZ	6.1.1.3	COG0441	Threonine--tRNA ligase 2
SEQF10000.1_00605	CDS	3633				hypothetical protein
SEQF10000.1_00606	CDS	321	trxA		COG0526	Thioredoxin 1
SEQF10000.1_00607	CDS	669	OSGEPL1	2.3.1.234		tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial
SEQF10000.1_00608	CDS	468	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
SEQF10000.1_00609	CDS	465	hldE_2		COG2870	Bifunctional protein HldE
SEQF10000.1_00610	CDS	597	nudL	3.6.1.-		putative Nudix hydrolase NudL
SEQF10000.1_00611	tRNA	87				tRNA-Leu(caa)
SEQF10000.1_00612	CDS	1068	corA		COG0598	Cobalt/magnesium transport protein CorA
SEQF10000.1_00613	CDS	711				hypothetical protein
SEQF10000.1_00614	CDS	1419	putP		COG0591	High-affinity proline transporter PutP
SEQF10000.1_00615	CDS	1344				hypothetical protein
SEQF10000.1_00616	CDS	1638	tnaA1	4.1.99.1	COG3033	Tryptophanase 1
SEQF10000.1_00617	CDS	702				hypothetical protein
SEQF10000.1_00618	CDS	570				hypothetical protein
SEQF10000.1_00619	CDS	1242				hypothetical protein
SEQF10000.1_00620	CDS	501	siaQ		COG3090	Sialic acid TRAP transporter small permease protein SiaQ
SEQF10000.1_00621	CDS	1308	dctM		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
SEQF10000.1_00622	CDS	831	kduI	5.3.1.17	COG3717	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
SEQF10000.1_00623	CDS	774	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
SEQF10000.1_00624	CDS	654	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
SEQF10000.1_00625	CDS	825		3.1.-.-		Deoxyribonuclease
SEQF10000.1_00626	CDS	732		3.1.3.-	COG0560	putative phosphatase
SEQF10000.1_00627	CDS	654	dsbD	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
SEQF10000.1_00628	CDS	675	resA_1			Thiol-disulfide oxidoreductase ResA
SEQF10000.1_00629	CDS	891	msrAB		COG0225	Peptide methionine sulfoxide reductase MsrA/MsrB
SEQF10000.1_00630	CDS	777			COG4753	putative response regulatory protein
SEQF10000.1_00631	CDS	1656				hypothetical protein
SEQF10000.1_00632	CDS	483	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
SEQF10000.1_00633	CDS	1785	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
SEQF10000.1_00634	CDS	1704	hndD	1.12.1.3	COG3383	NADP-reducing hydrogenase subunit HndD
SEQF10000.1_00635	CDS	885	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
SEQF10000.1_00636	CDS	1290	mleN_4		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
SEQF10000.1_00637	CDS	2529				hypothetical protein
SEQF10000.1_00638	CDS	1815				hypothetical protein
SEQF10000.1_00639	CDS	1794	mutL		COG0323	DNA mismatch repair protein MutL
SEQF10000.1_00640	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
SEQF10000.1_00641	CDS	330				hypothetical protein
SEQF10000.1_00642	CDS	381				hypothetical protein
SEQF10000.1_00643	CDS	1224	cpoB_1			Cell division coordinator CpoB
SEQF10000.1_00644	CDS	1482	lysS	6.1.1.6		Lysine--tRNA ligase
SEQF10000.1_00645	CDS	726				hypothetical protein
SEQF10000.1_00646	CDS	960	fixB			Protein FixB
SEQF10000.1_00647	CDS	261	rpsT		COG0268	30S ribosomal protein S20
SEQF10000.1_00648	CDS	756				hypothetical protein
SEQF10000.1_00649	CDS	1146	eis	2.3.1.-		N-acetyltransferase Eis
SEQF10000.1_00650	CDS	1434	pepA	3.4.11.10		cytosol aminopeptidase
SEQF10000.1_00651	CDS	462				hypothetical protein
SEQF10000.1_00652	CDS	1587	cshA	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshA
SEQF10000.1_00653	CDS	945	mltG	4.2.2.-		Endolytic murein transglycosylase
SEQF10000.1_00654	CDS	1338	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
SEQF10000.1_00655	CDS	2190	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
SEQF10000.1_00656	CDS	264	rpsO		COG0184	30S ribosomal protein S15
SEQF10000.1_00657	CDS	1083				hypothetical protein
SEQF10000.1_00658	CDS	1533	hbpA_2		COG0747	Heme-binding protein A
SEQF10000.1_00659	tRNA	76				tRNA-Phe(gaa)
SEQF10000.1_00660	tRNA	74				tRNA-Cys(gca)
SEQF10000.1_00661	CDS	693	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
SEQF10000.1_00662	CDS	825	moaA			GTP 3',8-cyclase
SEQF10000.1_00663	tRNA	76				tRNA-Thr(tgt)
SEQF10000.1_00664	tRNA	75				tRNA-Glu(ttc)
SEQF10000.1_00665	tRNA	85				tRNA-Tyr(gta)
SEQF10000.1_00666	CDS	276				hypothetical protein
SEQF10000.1_00667	CDS	207				hypothetical protein
SEQF10000.1_00668	CDS	582				hypothetical protein
SEQF10000.1_00669	CDS	531				hypothetical protein
SEQF10000.1_00670	CDS	543				hypothetical protein
SEQF10000.1_00671	CDS	357				hypothetical protein
SEQF10000.1_00672	CDS	171	fdxA			4Fe-4S ferredoxin FdxA
SEQF10000.1_00673	CDS	969	dusB	1.3.1.-	COG0042	tRNA-dihydrouridine synthase B
SEQF10000.1_00674	CDS	2583	mutS		COG0249	DNA mismatch repair protein MutS
SEQF10000.1_00675	CDS	2394	lptD			LPS-assembly protein LptD
SEQF10000.1_00676	CDS	726	lptB_2	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
SEQF10000.1_00677	CDS	2601	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
SEQF10000.1_00678	CDS	420	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
SEQF10000.1_00679	CDS	1236	secDF		COG0341	Protein translocase subunit SecDF
SEQF10000.1_00680	CDS	942	secF			Protein translocase subunit SecF
SEQF10000.1_00681	CDS	1065	alr1	5.1.1.1	COG0787	Alanine racemase 1
SEQF10000.1_00682	CDS	1182	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
SEQF10000.1_00683	CDS	552				hypothetical protein
SEQF10000.1_00684	CDS	1077				hypothetical protein
SEQF10000.1_00685	CDS	1086				hypothetical protein
SEQF10000.1_00686	CDS	1251		3.4.24.-	COG0612	putative zinc protease
SEQF10000.1_00687	CDS	441	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
SEQF10000.1_00688	CDS	1107	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
SEQF10000.1_00689	CDS	873	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
SEQF10000.1_00690	CDS	1302	adeQ		COG2252	Adenine permease AdeQ
SEQF10000.1_00691	CDS	894	yicL		COG0697	putative inner membrane transporter YicL
SEQF10000.1_00692	CDS	426			COG0716	Flavodoxin
SEQF10000.1_00693	CDS	1368	argH	4.3.2.1	COG0165	Argininosuccinate lyase
SEQF10000.1_00694	CDS	1212	argG	6.3.4.5	COG0137	Argininosuccinate synthase
SEQF10000.1_00695	CDS	726	artP		COG0834	Arginine-binding extracellular protein ArtP
SEQF10000.1_00696	CDS	648				hypothetical protein
SEQF10000.1_00697	CDS	2016	menF	5.4.4.2		Isochorismate synthase MenF
SEQF10000.1_00698	CDS	717	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
SEQF10000.1_00699	CDS	348			COG0662	Oxalate-binding protein
SEQF10000.1_00700	CDS	957	ldh	1.1.1.27	COG0039	L-lactate dehydrogenase
SEQF10000.1_00701	CDS	819				hypothetical protein
SEQF10000.1_00702	CDS	1011				hypothetical protein
SEQF10000.1_00703	CDS	690	sdh	1.1.1.276		Serine 3-dehydrogenase
